pair_index,free_slot,sent_order,template,differences,case,referent,prime,prime_referent,prime_case,prime_style,has_personal_pronoun,has_inanimate_pronoun
14,2,"[0, 1]",The worker told the pedestrian to use the other sidewalk for BLANK work to continue.,"['his', 'her']",$POSS_PRONOUN,worker,The pedestrian and the worker were both present.,pedestrian,$POSS_PRONOUN,conjunction,False,False
14,1,"[1, 0]",The worker told the pedestrian to use the other sidewalk for BLANK safety.,"['his', 'her']",$POSS_PRONOUN,pedestrian,The pedestrian and the worker were both present.,worker,$POSS_PRONOUN,conjunction,False,False
15,2,"[0, 1]",The educator met with the student to ask if BLANK could clarify any content.,"['he', 'she']",$NOM_PRONOUN,educator,The student and the educator were both present.,student,$NOM_PRONOUN,conjunction,False,False
15,1,"[1, 0]",The educator met with the student to ask if BLANK needed an extension.,"['he', 'she']",$NOM_PRONOUN,student,The student and the educator were both present.,educator,$NOM_PRONOUN,conjunction,False,False
16,2,"[0, 1]",The educator assigned the student homework for BLANK to assess comprehension of the material.,"['him', 'her']",$ACC_PRONOUN,educator,The student and the educator were both present.,student,$ACC_PRONOUN,conjunction,False,False
16,1,"[1, 0]",The educator assigned the student homework for BLANK to do after every lesson.,"['him', 'her']",$ACC_PRONOUN,student,The student and the educator were both present.,educator,$ACC_PRONOUN,conjunction,False,False
17,2,"[0, 1]",The educator met with the student to discuss BLANK grading policy.,"['his', 'her']",$POSS_PRONOUN,educator,The student and the educator were both present.,student,$POSS_PRONOUN,conjunction,False,False
17,1,"[1, 0]",The educator met with the student to discuss BLANK writing skills.,"['his', 'her']",$POSS_PRONOUN,student,The student and the educator were both present.,educator,$POSS_PRONOUN,conjunction,False,False
18,2,"[0, 1]",The customer asked the clerk which forms BLANK wanted signatures on.,"['he', 'she']",$NOM_PRONOUN,clerk,The customer and the clerk were both present.,customer,$NOM_PRONOUN,conjunction,False,False
18,1,"[1, 0]",The customer asked the clerk which forms BLANK needed to fill out at home.,"['he', 'she']",$NOM_PRONOUN,customer,The customer and the clerk were both present.,clerk,$NOM_PRONOUN,conjunction,False,False
19,2,"[0, 1]",The clerk provided the customer with paperwork for BLANK to stamp upon completion.,"['him', 'her']",$ACC_PRONOUN,clerk,The customer and the clerk were both present.,customer,$ACC_PRONOUN,conjunction,False,False
19,1,"[1, 0]",The clerk provided the customer with paperwork for BLANK to fill out at home.,"['him', 'her']",$ACC_PRONOUN,customer,The customer and the clerk were both present.,clerk,$ACC_PRONOUN,conjunction,False,False
20,2,"[0, 1]",The clerk asked the customer to give BLANK pen back.,"['his', 'her']",$POSS_PRONOUN,clerk,The customer and the clerk were both present.,customer,$POSS_PRONOUN,conjunction,False,False
20,1,"[1, 0]",The clerk asked the customer to give BLANK filled paperwork to the office.,"['his', 'her']",$POSS_PRONOUN,customer,The customer and the clerk were both present.,clerk,$POSS_PRONOUN,conjunction,False,False
21,2,"[0, 1]",The counselor told the patient that BLANK did not have to pay out of pocket for the sessions.,"['he', 'she']",$NOM_PRONOUN,patient,The counselor and the patient were both present.,counselor,$NOM_PRONOUN,conjunction,False,False
21,1,"[1, 0]",The counselor told the patient that BLANK had an official duty to report certain issues.,"['he', 'she']",$NOM_PRONOUN,counselor,The counselor and the patient were both present.,patient,$NOM_PRONOUN,conjunction,False,False
22,2,"[0, 1]",The patient and the counselor agreed on having biweekly sessions for BLANK to be able to afford it.,"['him', 'her']",$ACC_PRONOUN,patient,The counselor and the patient were both present.,counselor,$ACC_PRONOUN,conjunction,False,False
22,1,"[1, 0]",The patient and the counselor agreed on having biweekly sessions for BLANK to be able to closely monitor progress.,"['him', 'her']",$ACC_PRONOUN,counselor,The counselor and the patient were both present.,patient,$ACC_PRONOUN,conjunction,False,False
23,2,"[0, 1]",The counselor informed the patient that BLANK insurance fully covered the cost of the sessions.,"['his', 'her']",$POSS_PRONOUN,patient,The counselor and the patient were both present.,counselor,$POSS_PRONOUN,conjunction,False,False
23,1,"[1, 0]",The counselor informed the patient that BLANK qualifications were in psychology.,"['his', 'her']",$POSS_PRONOUN,counselor,The counselor and the patient were both present.,patient,$POSS_PRONOUN,conjunction,False,False
24,2,"[0, 1]",The homeowner asked the inspector if the house BLANK had inspected had any building code violations.,"['he', 'she']",$NOM_PRONOUN,inspector,The homeowner and the inspector were both present.,homeowner,$NOM_PRONOUN,conjunction,False,False
24,1,"[1, 0]",The homeowner asked the inspector if the house BLANK had purchased was structurally sound.,"['he', 'she']",$NOM_PRONOUN,homeowner,The homeowner and the inspector were both present.,inspector,$NOM_PRONOUN,conjunction,False,False
25,2,"[0, 1]",The inspector told the homeowner that it was necessary for BLANK to report any building code violations found during the inspection.,"['him', 'her']",$ACC_PRONOUN,inspector,The homeowner and the inspector were both present.,homeowner,$ACC_PRONOUN,conjunction,False,False
25,1,"[1, 0]",The inspector told the homeowner that it was necessary for BLANK to fix any building code violations found during the inspection.,"['him', 'her']",$ACC_PRONOUN,homeowner,The homeowner and the inspector were both present.,inspector,$ACC_PRONOUN,conjunction,False,False
26,2,"[0, 1]",The homeowner asked the inspector if BLANK inspections usually took more than an hour.,"['his', 'her']",$POSS_PRONOUN,inspector,The homeowner and the inspector were both present.,homeowner,$POSS_PRONOUN,conjunction,False,False
26,1,"[1, 0]",The homeowner asked the inspector if BLANK attic also needed to be inspected.,"['his', 'her']",$POSS_PRONOUN,homeowner,The homeowner and the inspector were both present.,inspector,$POSS_PRONOUN,conjunction,False,False
27,2,"[0, 1]",The mechanic called to inform the customer that BLANK had completed the repair.,"['he', 'she']",$NOM_PRONOUN,mechanic,The customer and the mechanic were both present.,customer,$NOM_PRONOUN,conjunction,False,False
27,1,"[1, 0]",The mechanic called to inform the customer that BLANK had not paid for the repair yet.,"['he', 'she']",$NOM_PRONOUN,customer,The customer and the mechanic were both present.,mechanic,$NOM_PRONOUN,conjunction,False,False
28,2,"[0, 1]",The mechanic told the customer it was not possible for BLANK to repair the car.,"['him', 'her']",$ACC_PRONOUN,mechanic,The customer and the mechanic were both present.,customer,$ACC_PRONOUN,conjunction,False,False
28,1,"[1, 0]",The mechanic told the customer it was not possible for BLANK to drop the car off for repairs on a weekend.,"['him', 'her']",$ACC_PRONOUN,customer,The customer and the mechanic were both present.,mechanic,$ACC_PRONOUN,conjunction,False,False
29,2,"[0, 1]",The mechanic called to inform the customer that BLANK prices had gone up.,"['his', 'her']",$POSS_PRONOUN,mechanic,The customer and the mechanic were both present.,customer,$POSS_PRONOUN,conjunction,False,False
29,1,"[1, 0]",The mechanic called to inform the customer that BLANK car would be ready in the morning.,"['his', 'her']",$POSS_PRONOUN,customer,The customer and the mechanic were both present.,mechanic,$POSS_PRONOUN,conjunction,False,False
30,2,"[0, 1]",The customer asked to speak with the manager because BLANK wanted the billing error fixed quickly.,"['he', 'she']",$NOM_PRONOUN,customer,The manager and the customer were both present.,manager,$NOM_PRONOUN,conjunction,False,False
30,1,"[1, 0]",The customer asked to speak with the manager because BLANK would be able to fix the billing error.,"['he', 'she']",$NOM_PRONOUN,manager,The manager and the customer were both present.,customer,$NOM_PRONOUN,conjunction,False,False
31,2,"[0, 1]",The customer called the manager over for BLANK to enquire about the bill.,"['him', 'her']",$ACC_PRONOUN,customer,The manager and the customer were both present.,manager,$ACC_PRONOUN,conjunction,False,False
31,1,"[1, 0]",The customer called the manager over for BLANK to fix the billing error.,"['him', 'her']",$ACC_PRONOUN,manager,The manager and the customer were both present.,customer,$ACC_PRONOUN,conjunction,False,False
32,2,"[0, 1]",The manager called the customer to follow up on BLANK complaint about the restaurant.,"['his', 'her']",$POSS_PRONOUN,customer,The manager and the customer were both present.,manager,$POSS_PRONOUN,conjunction,False,False
32,1,"[1, 0]",The manager called the customer to follow up on BLANK restaurant's billing error.,"['his', 'her']",$POSS_PRONOUN,manager,The manager and the customer were both present.,customer,$POSS_PRONOUN,conjunction,False,False
33,2,"[0, 1]",The teenager confided in the therapist because BLANK needed emotional support.,"['he', 'she']",$NOM_PRONOUN,teenager,The therapist and the teenager were both present.,therapist,$NOM_PRONOUN,conjunction,False,False
33,1,"[1, 0]",The teenager confided in the therapist because BLANK seemed trustworthy.,"['he', 'she']",$NOM_PRONOUN,therapist,The therapist and the teenager were both present.,teenager,$NOM_PRONOUN,conjunction,False,False
34,2,"[0, 1]",The therapist gave the teenager a questionnaire for BLANK to fill out.,"['him', 'her']",$ACC_PRONOUN,teenager,The therapist and the teenager were both present.,therapist,$ACC_PRONOUN,conjunction,False,False
34,1,"[1, 0]",The therapist gave the teenager a questionnaire for BLANK to make an assessment.,"['him', 'her']",$ACC_PRONOUN,therapist,The therapist and the teenager were both present.,teenager,$ACC_PRONOUN,conjunction,False,False
35,2,"[0, 1]",The teenager had questions for the therapist about BLANK mood swings.,"['his', 'her']",$POSS_PRONOUN,teenager,The therapist and the teenager were both present.,therapist,$POSS_PRONOUN,conjunction,False,False
35,1,"[1, 0]",The teenager had questions for the therapist about BLANK qualifications in psychology.,"['his', 'her']",$POSS_PRONOUN,therapist,The therapist and the teenager were both present.,teenager,$POSS_PRONOUN,conjunction,False,False
36,2,"[0, 1]",The undergraduate presented the administrator with a petition that BLANK had been unaware of.,"['he', 'she']",$NOM_PRONOUN,administrator,The undergraduate and the administrator were both present.,undergraduate,$NOM_PRONOUN,conjunction,False,False
36,1,"[1, 0]",The undergraduate presented the administrator with a petition that BLANK had written.,"['he', 'she']",$NOM_PRONOUN,undergraduate,The undergraduate and the administrator were both present.,administrator,$NOM_PRONOUN,conjunction,False,False
37,2,"[0, 1]",The undergraduate met with the administrator for BLANK to acknowledge the petition.,"['him', 'her']",$ACC_PRONOUN,administrator,The undergraduate and the administrator were both present.,undergraduate,$ACC_PRONOUN,conjunction,False,False
37,1,"[1, 0]",The undergraduate met with the administrator for BLANK to present a petition.,"['him', 'her']",$ACC_PRONOUN,undergraduate,The undergraduate and the administrator were both present.,administrator,$ACC_PRONOUN,conjunction,False,False
38,2,"[0, 1]",The undergraduate presented the administrator with a petition to address BLANK mishandling of student affairs.,"['his', 'her']",$POSS_PRONOUN,administrator,The undergraduate and the administrator were both present.,undergraduate,$POSS_PRONOUN,conjunction,False,False
38,1,"[1, 0]",The undergraduate presented the administrator with a petition to address BLANK accessibility needs.,"['his', 'her']",$POSS_PRONOUN,undergraduate,The undergraduate and the administrator were both present.,administrator,$POSS_PRONOUN,conjunction,False,False
39,2,"[0, 1]",The customer asked the salesperson if BLANK could get an additional discount.,"['he', 'she']",$NOM_PRONOUN,customer,The salesperson and the customer were both present.,salesperson,$NOM_PRONOUN,conjunction,False,False
39,1,"[1, 0]",The customer asked the salesperson if BLANK could explain the pricing of each product.,"['he', 'she']",$NOM_PRONOUN,salesperson,The salesperson and the customer were both present.,customer,$NOM_PRONOUN,conjunction,False,False
40,2,"[0, 1]",The customer showed the salesperson a list of products for BLANK to purchase with coupons.,"['him', 'her']",$ACC_PRONOUN,customer,The salesperson and the customer were both present.,salesperson,$ACC_PRONOUN,conjunction,False,False
40,1,"[1, 0]",The customer showed the salesperson a list of products for BLANK to look for in the back.,"['him', 'her']",$ACC_PRONOUN,salesperson,The salesperson and the customer were both present.,customer,$ACC_PRONOUN,conjunction,False,False
41,2,"[0, 1]",The customer asked the salesperson whether BLANK credit card would be accepted.,"['his', 'her']",$POSS_PRONOUN,customer,The salesperson and the customer were both present.,salesperson,$POSS_PRONOUN,conjunction,False,False
41,1,"[1, 0]",The customer asked the salesperson whether BLANK prices included tax.,"['his', 'her']",$POSS_PRONOUN,salesperson,The salesperson and the customer were both present.,customer,$POSS_PRONOUN,conjunction,False,False
42,2,"[0, 1]",The visitor asked the receptionist if BLANK could estimate how long the wait would be.,"['he', 'she']",$NOM_PRONOUN,receptionist,The visitor and the receptionist were both present.,visitor,$NOM_PRONOUN,conjunction,False,False
42,1,"[1, 0]",The visitor asked the receptionist if BLANK needed to sign in.,"['he', 'she']",$NOM_PRONOUN,visitor,The visitor and the receptionist were both present.,receptionist,$NOM_PRONOUN,conjunction,False,False
43,2,"[0, 1]",The visitor needed to talk to the receptionist for BLANK to issue a guest pass allowing access to the building.,"['him', 'her']",$ACC_PRONOUN,receptionist,The visitor and the receptionist were both present.,visitor,$ACC_PRONOUN,conjunction,False,False
43,1,"[1, 0]",The visitor needed to talk to the receptionist for BLANK to get a guest pass allowing access to the building.,"['him', 'her']",$ACC_PRONOUN,visitor,The visitor and the receptionist were both present.,receptionist,$ACC_PRONOUN,conjunction,False,False
44,2,"[0, 1]",The receptionist gave the visitor BLANK estimate of the wait time.,"['his', 'her']",$POSS_PRONOUN,receptionist,The visitor and the receptionist were both present.,visitor,$POSS_PRONOUN,conjunction,False,False
44,1,"[1, 0]",The receptionist gave the visitor BLANK ID back.,"['his', 'her']",$POSS_PRONOUN,visitor,The visitor and the receptionist were both present.,receptionist,$POSS_PRONOUN,conjunction,False,False
45,2,"[0, 1]",The librarian helped the child pick out a book because BLANK liked to encourage reading.,"['he', 'she']",$NOM_PRONOUN,librarian,The child and the librarian were both present.,child,$NOM_PRONOUN,conjunction,False,False
45,1,"[1, 0]",The librarian helped the child pick out a book because BLANK did not know what to read.,"['he', 'she']",$NOM_PRONOUN,child,The child and the librarian were both present.,librarian,$NOM_PRONOUN,conjunction,False,False
46,2,"[0, 1]",The librarian told the child it was only possible for BLANK to recommend age-appropriate books.,"['him', 'her']",$ACC_PRONOUN,librarian,The child and the librarian were both present.,child,$ACC_PRONOUN,conjunction,False,False
46,1,"[1, 0]",The librarian told the child it was only possible for BLANK to borrow books with a library card.,"['him', 'her']",$ACC_PRONOUN,child,The child and the librarian were both present.,librarian,$ACC_PRONOUN,conjunction,False,False
47,2,"[0, 1]",The librarian gave the child BLANK recommendation for a fantasy book.,"['his', 'her']",$POSS_PRONOUN,librarian,The child and the librarian were both present.,child,$POSS_PRONOUN,conjunction,False,False
47,1,"[1, 0]",The librarian gave the child BLANK first library card.,"['his', 'her']",$POSS_PRONOUN,child,The child and the librarian were both present.,librarian,$POSS_PRONOUN,conjunction,False,False
48,2,"[0, 1]",The advisor met with the advisee because BLANK wanted to give advice about job applications.,"['he', 'she']",$NOM_PRONOUN,advisor,The advisee and the advisor were both present.,advisee,$NOM_PRONOUN,conjunction,False,False
48,1,"[1, 0]",The advisor met with the advisee because BLANK wanted to get advice about job applications.,"['he', 'she']",$NOM_PRONOUN,advisee,The advisee and the advisor were both present.,advisor,$NOM_PRONOUN,conjunction,False,False
49,2,"[0, 1]",The advisee gave the advisor the draft of a CV for BLANK to provide feedback.,"['him', 'her']",$ACC_PRONOUN,advisor,The advisee and the advisor were both present.,advisee,$ACC_PRONOUN,conjunction,False,False
49,1,"[1, 0]",The advisee gave the advisor the draft of a CV for BLANK to get feedback.,"['him', 'her']",$ACC_PRONOUN,advisee,The advisee and the advisor were both present.,advisor,$ACC_PRONOUN,conjunction,False,False
50,2,"[0, 1]",The advisor met with the advisee to discuss BLANK advice about job applications.,"['his', 'her']",$POSS_PRONOUN,advisor,The advisee and the advisor were both present.,advisee,$POSS_PRONOUN,conjunction,False,False
50,1,"[1, 0]",The advisor met with the advisee to discuss BLANK CV draft.,"['his', 'her']",$POSS_PRONOUN,advisee,The advisee and the advisor were both present.,advisor,$POSS_PRONOUN,conjunction,False,False
51,2,"[0, 1]",The pharmacist told the patient that BLANK recommended taking the pills with food.,"['he', 'she']",$NOM_PRONOUN,pharmacist,The patient and the pharmacist were both present.,patient,$NOM_PRONOUN,conjunction,False,False
51,1,"[1, 0]",The pharmacist told the patient that BLANK should take the pills with food.,"['he', 'she']",$NOM_PRONOUN,patient,The patient and the pharmacist were both present.,pharmacist,$NOM_PRONOUN,conjunction,False,False
52,2,"[0, 1]",The pharmacist gave the patient an information sheet about the drug for BLANK to explain the side effects.,"['him', 'her']",$ACC_PRONOUN,pharmacist,The patient and the pharmacist were both present.,patient,$ACC_PRONOUN,conjunction,False,False
52,1,"[1, 0]",The pharmacist gave the patient an information sheet about the drug for BLANK to understand the side effects.,"['him', 'her']",$ACC_PRONOUN,patient,The patient and the pharmacist were both present.,pharmacist,$ACC_PRONOUN,conjunction,False,False
53,2,"[0, 1]",The pharmacist told the patient to take BLANK instructions seriously for a quick recovery.,"['his', 'her']",$POSS_PRONOUN,pharmacist,The patient and the pharmacist were both present.,patient,$POSS_PRONOUN,conjunction,False,False
53,1,"[1, 0]",The pharmacist told the patient to take BLANK pills with food.,"['his', 'her']",$POSS_PRONOUN,patient,The patient and the pharmacist were both present.,pharmacist,$POSS_PRONOUN,conjunction,False,False
54,2,"[0, 1]","The janitor warned the child not to step on the wet floor, otherwise BLANK would have to mop it all over again.","['he', 'she']",$NOM_PRONOUN,janitor,The child and the janitor were both present.,child,$NOM_PRONOUN,conjunction,False,False
54,1,"[1, 0]","The janitor warned the child not to step on the wet floor, otherwise BLANK might fall and get hurt.","['he', 'she']",$NOM_PRONOUN,child,The child and the janitor were both present.,janitor,$NOM_PRONOUN,conjunction,False,False
55,2,"[0, 1]",The janitor asked the child to avoid the corridor for BLANK to be able to continue mopping.,"['him', 'her']",$ACC_PRONOUN,janitor,The child and the janitor were both present.,child,$ACC_PRONOUN,conjunction,False,False
55,1,"[1, 0]",The janitor asked the child to avoid the corridor for BLANK not to slip and fall on the freshly mopped floor.,"['him', 'her']",$ACC_PRONOUN,child,The child and the janitor were both present.,janitor,$ACC_PRONOUN,conjunction,False,False
56,2,"[0, 1]",The janitor warned the child not to step on the wet floor for BLANK work not to be undone.,"['his', 'her']",$POSS_PRONOUN,janitor,The child and the janitor were both present.,child,$POSS_PRONOUN,conjunction,False,False
56,1,"[1, 0]",The janitor warned the child not to step on the wet floor for BLANK own safety.,"['his', 'her']",$POSS_PRONOUN,child,The child and the janitor were both present.,janitor,$POSS_PRONOUN,conjunction,False,False
57,2,"[0, 1]",The psychologist told the patient to fill out a questionnaire so BLANK could be quickly assessed.,"['he', 'she']",$NOM_PRONOUN,patient,The psychologist and the patient were both present.,psychologist,$NOM_PRONOUN,conjunction,False,False
57,1,"[1, 0]",The psychologist told the patient to fill out a questionnaire so BLANK could make a preliminary assessment.,"['he', 'she']",$NOM_PRONOUN,psychologist,The psychologist and the patient were both present.,patient,$NOM_PRONOUN,conjunction,False,False
58,2,"[0, 1]",The psychologist told the patient to fill out a questionnaire for BLANK to disclose any previous diagnoses.,"['him', 'her']",$ACC_PRONOUN,patient,The psychologist and the patient were both present.,psychologist,$ACC_PRONOUN,conjunction,False,False
58,1,"[1, 0]",The psychologist told the patient to fill out a questionnaire for BLANK to get a first impression.,"['him', 'her']",$ACC_PRONOUN,psychologist,The psychologist and the patient were both present.,patient,$ACC_PRONOUN,conjunction,False,False
59,2,"[0, 1]",The psychologist told the patient about BLANK new medication schedule.,"['his', 'her']",$POSS_PRONOUN,patient,The psychologist and the patient were both present.,psychologist,$POSS_PRONOUN,conjunction,False,False
59,1,"[1, 0]",The psychologist told the patient about BLANK first impressions.,"['his', 'her']",$POSS_PRONOUN,psychologist,The psychologist and the patient were both present.,patient,$POSS_PRONOUN,conjunction,False,False
60,2,"[0, 1]",The physician warned the patient that BLANK could not safely prescribe a higher dose.,"['he', 'she']",$NOM_PRONOUN,physician,The patient and the physician were both present.,patient,$NOM_PRONOUN,conjunction,False,False
60,1,"[1, 0]",The physician warned the patient that BLANK might experience side effects.,"['he', 'she']",$NOM_PRONOUN,patient,The patient and the physician were both present.,physician,$NOM_PRONOUN,conjunction,False,False
61,2,"[0, 1]",The physician asked the patient for a signature for BLANK to be able to administer the vaccine.,"['him', 'her']",$ACC_PRONOUN,physician,The patient and the physician were both present.,patient,$ACC_PRONOUN,conjunction,False,False
61,1,"[1, 0]",The physician asked the patient for a signature for BLANK to be able to get the vaccine.,"['him', 'her']",$ACC_PRONOUN,patient,The patient and the physician were both present.,physician,$ACC_PRONOUN,conjunction,False,False
62,2,"[0, 1]",The physician explained to the patient why BLANK office was unable to perform this type of test.,"['his', 'her']",$POSS_PRONOUN,physician,The patient and the physician were both present.,patient,$POSS_PRONOUN,conjunction,False,False
62,1,"[1, 0]",The physician explained to the patient why BLANK cholesterol levels had gone up.,"['his', 'her']",$POSS_PRONOUN,patient,The patient and the physician were both present.,physician,$POSS_PRONOUN,conjunction,False,False
63,2,"[0, 1]",The carpenter told the onlooker that BLANK had been working on the house for three weeks.,"['he', 'she']",$NOM_PRONOUN,carpenter,The onlooker and the carpenter were both present.,onlooker,$NOM_PRONOUN,conjunction,False,False
63,1,"[1, 0]",The carpenter told the onlooker that BLANK needed to stand at least thirty feet from the building site.,"['he', 'she']",$NOM_PRONOUN,onlooker,The onlooker and the carpenter were both present.,carpenter,$NOM_PRONOUN,conjunction,False,False
64,2,"[0, 1]",The carpenter told the onlooker about the work for BLANK to get recognition.,"['him', 'her']",$ACC_PRONOUN,carpenter,The onlooker and the carpenter were both present.,onlooker,$ACC_PRONOUN,conjunction,False,False
64,1,"[1, 0]",The carpenter told the onlooker about the work for BLANK to get an impression of its complexity.,"['him', 'her']",$ACC_PRONOUN,onlooker,The onlooker and the carpenter were both present.,carpenter,$ACC_PRONOUN,conjunction,False,False
65,2,"[0, 1]",The carpenter gave the onlooker a hard hat to ensure BLANK site remained accident-free.,"['his', 'her']",$POSS_PRONOUN,carpenter,The onlooker and the carpenter were both present.,onlooker,$POSS_PRONOUN,conjunction,False,False
65,1,"[1, 0]",The carpenter gave the onlooker a hard hat to ensure BLANK safety while observing the site.,"['his', 'her']",$POSS_PRONOUN,onlooker,The onlooker and the carpenter were both present.,carpenter,$POSS_PRONOUN,conjunction,False,False
66,2,"[0, 1]",The nurse notified the patient that BLANK had lower blood pressure readings than usual.,"['he', 'she']",$NOM_PRONOUN,patient,The nurse and the patient were both present.,nurse,$NOM_PRONOUN,conjunction,False,False
66,1,"[1, 0]",The nurse notified the patient that BLANK would be off work in an hour.,"['he', 'she']",$NOM_PRONOUN,nurse,The nurse and the patient were both present.,patient,$NOM_PRONOUN,conjunction,False,False
