,Measurement,Role,GPrime,POrder,X
17,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
18,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
19,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
20,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
21,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
22,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
23,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
24,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
25,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
26,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
27,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
28,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
29,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
30,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
31,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
32,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
33,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
34,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
35,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
36,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
37,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
38,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
39,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
40,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
41,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
42,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
43,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
44,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
45,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
46,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
47,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
48,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
49,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
50,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
51,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
52,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
53,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
54,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
55,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
56,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
57,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
58,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
59,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
60,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
61,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
62,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
63,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
64,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
65,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
66,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
67,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
68,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
69,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
70,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
71,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'He'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
72,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
73,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
74,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
75,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
76,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
77,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
78,"{'index': 0, 'context': {'sent_order': [0, 1], 'pnoun_order': [None, 0], 'sentence_1': None, 'sentence_2': 'The technician told the customer that BLANK had completed the repair.', 'pronouns_1': ['he', 'she'], 'pronouns_2': ['he', 'she']}, 'measurement': {'BLANK': 'he'}, 'probabilities': None, 'logits': [14.640625, 12.4921875]}",technician,None,0,0
